input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_subject_org_,tls_mismatched,tls_expired
155-9-76-46.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,155-9-76-46.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,155-9-76-46.my.ncsc.gov.uk,cloudfront,80,http://155-9-76-46.my.ncsc.gov.uk:80,http,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.123,HSTS,1,False,True,https://155-9-76-46.my.ncsc.gov.uk/,,,
158-7-252-60.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,158-7-252-60.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,158-7-252-60.my.ncsc.gov.uk,cloudfront,443,https://158-7-252-60.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.123,HSTS,1,False,True,,,,
17-121-112-11.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-112-11.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-112-11.my.ncsc.gov.uk,cloudfront,443,https://17-121-112-11.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.98,/,82507257,52.222.214.45,HSTS,1,False,True,,,,
17-121-113-46.my.ncsc.gov.uk,MyNCSC,200,905,https://fonts.googleapis.com,17-121-113-46.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-113-46.my.ncsc.gov.uk,cloudfront,443,https://17-121-113-46.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.123,/,82507257,52.222.214.98,HSTS,1,False,True,,,,
17-121-114-77.my.ncsc.gov.uk,MyNCSC,200,905,https://www.google-analytics.com,17-121-114-77.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-114-77.my.ncsc.gov.uk,cloudfront,443,https://17-121-114-77.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.84,HSTS,1,False,True,,,,
17-121-116-60.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-116-60.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-116-60.my.ncsc.gov.uk,cloudfront,443,https://17-121-116-60.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.123,/,82507257,52.222.214.84,HSTS,1,False,True,,,,
17-121-117-8.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-117-8.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-117-8.my.ncsc.gov.uk,cloudfront,443,https://17-121-117-8.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.84,/,82507257,52.222.214.45,HSTS,1,False,True,,,,
17-121-118-33.my.ncsc.gov.uk,MyNCSC,200,905,https://fonts.gstatic.com,17-121-118-33.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-118-33.my.ncsc.gov.uk,cloudfront,80,http://17-121-118-33.my.ncsc.gov.uk:80,http,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.84,HSTS,1,False,True,https://17-121-118-33.my.ncsc.gov.uk/,,,
17-121-118-6.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-118-6.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-118-6.my.ncsc.gov.uk,cloudfront,80,http://17-121-118-6.my.ncsc.gov.uk:80,http,AmazonS3,text/html,GET,52.222.214.84,/,82507257,52.222.214.45,HSTS,1,False,True,https://17-121-118-6.my.ncsc.gov.uk/,,,
17-121-119-48.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-119-48.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-119-48.my.ncsc.gov.uk,cloudfront,443,https://17-121-119-48.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.84,HSTS,1,False,True,,,,
17-121-119-87.my.ncsc.gov.uk,MyNCSC,200,905,https://www.google-analytics.com,17-121-119-87.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-119-87.my.ncsc.gov.uk,cloudfront,443,https://17-121-119-87.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.123,HSTS,1,False,True,,,,
17-121-120-3.my.ncsc.gov.uk,MyNCSC,200,905,https://fonts.gstatic.com,17-121-120-3.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-120-3.my.ncsc.gov.uk,cloudfront,443,https://17-121-120-3.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.98,/,82507257,52.222.214.45,HSTS,1,False,True,,,,
17-121-121-68.my.ncsc.gov.uk,MyNCSC,200,905,https://stage-asset-upload.s3.eu-west-1.amazonaws.com,17-121-121-68.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-121-68.my.ncsc.gov.uk,cloudfront,80,http://17-121-121-68.my.ncsc.gov.uk:80,http,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.98,HSTS,1,False,True,https://17-121-121-68.my.ncsc.gov.uk/,,,
17-121-122-51.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-122-51.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-122-51.my.ncsc.gov.uk,cloudfront,443,https://17-121-122-51.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.84,/,82507257,52.222.214.123,HSTS,1,False,True,,,,
17-121-122-68.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-122-68.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-122-68.my.ncsc.gov.uk,cloudfront,443,https://17-121-122-68.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.84,/,82507257,52.222.214.123,HSTS,1,False,True,,,,
17-121-123-38.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-123-38.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-123-38.my.ncsc.gov.uk,cloudfront,443,https://17-121-123-38.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.98,/,82507257,52.222.214.123,HSTS,1,False,True,,,,
17-121-123-53.my.ncsc.gov.uk,MyNCSC,200,905,https://fonts.gstatic.com,17-121-123-53.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-123-53.my.ncsc.gov.uk,cloudfront,443,https://17-121-123-53.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.84,HSTS,1,False,True,,,,
17-121-123-58.my.ncsc.gov.uk,MyNCSC,200,905,https://production-asset-upload.s3.eu-west-1.amazonaws.com,17-121-123-58.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-123-58.my.ncsc.gov.uk,cloudfront,443,https://17-121-123-58.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.98,HSTS,1,False,True,,,,
17-121-125-30.my.ncsc.gov.uk,MyNCSC,200,905,https://fonts.googleapis.com,17-121-125-30.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-125-30.my.ncsc.gov.uk,cloudfront,80,http://17-121-125-30.my.ncsc.gov.uk:80,http,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.84,HSTS,1,False,True,https://17-121-125-30.my.ncsc.gov.uk/,,,
17-121-125-80.my.ncsc.gov.uk,MyNCSC,200,905,https://fonts.googleapis.com,17-121-125-80.my.ncsc.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=hub.service.ncsc.gov.uk,hub.service.ncsc.gov.uk,*.hub.service.ncsc.gov.uk,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0556c796612f50e88d785bacdf264b07,e471c25f77bbbc62b70cdb1eb9ec298b0723eb9b384f442a6b3ed5a21ab6ff8d,True,ctls,17-121-125-80.my.ncsc.gov.uk,cloudfront,443,https://17-121-125-80.my.ncsc.gov.uk:443,https,AmazonS3,text/html,GET,52.222.214.45,/,82507257,52.222.214.84,HSTS,1,False,True,,,,
