new,host,a,soa,status_code,cdn,cdn-name,cname,aaaa,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],00000-okta-idp.adilike.sso.app-west.lat-lon.com,64.78.152.148,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],00000-okta-idp00000-okta-idp.sso.prod.neutralvehicle.com,35.237.250.45,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],040uy5werkstatt.hrsys.okta-wiskey-orchestratortech-safe.production.lat-lon.com,64.78.152.148,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],107-okta-network-metrics-s3p-sbsgcustomer.hw.test.neutralvehicle.com,35.237.250.45,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],10yuankaihutiyanjin-okta-productionwork-drookings-staging.accept.lat-lon.com,64.78.152.148,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],511.webtechwireless.com,192.40.237.108,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],api.lat-lon.com,34.120.184.100,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],api.mobicorp.com,34.148.189.141,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],apigee.geotab.ca,34.149.153.91,"ns-cloud-d1.googledomains.com, dns-admin.google.com",NOERROR,True,google,,,,,,,,
[x],apmt.webtechwireless.com,192.40.237.105,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],app-con-q9.test.geotabinc.com,34.117.195.214,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],autodiscover.bsmwireless.com,"40.99.150.56, 52.98.243.24, 40.99.150.40, 52.98.241.168","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c0d:82d::8, 2603:1026:c0d:c1e::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:c1d::8",,,,,,
[x],autodiscover.lat-lon.com,"40.99.149.152, 40.99.149.136, 40.99.157.56, 40.99.157.24, 52.97.188.72, 52.97.189.72, 40.99.149.104, 40.99.157.40","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:c03:7067::8, 2603:1026:207:109::8, 2603:1026:207:1::8, 2603:1026:207:11d::8",,,,,,
[x],autodiscover.webtechwireless.com,"52.98.232.8, 52.97.200.168, 52.97.200.184, 40.101.121.24","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","2603:1026:207:14::8, 2603:1026:204::8, 2603:1026:c03:7071::8, 2603:1026:c03:7070::8",,,,,,
[x],autovision.bsmwireless.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d13pnwrkjgm04x.cloudfront.net,,,,,,,
[x],beta.webtechwireless.com,192.40.237.111,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],bi.webtechwireless.com,54.190.49.249,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],blog.webtechwireless.com,74.200.11.252,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
[x],bsmtechnologies.com,34.149.0.149,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,"ns-cloud-c1.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com","alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","google-site-verification=CUb8wrwFYR_PiemIJii6WAgjBB1JZhi923D9i8bxgpU, ca3-365912ce70b542788f4069136cbc51b8, wr69p5v8j9br3pszz045b87lgsmdhh6n, MS=ms53766155, rjs60bggh47gf5cpim5b0qnng3, 7lr67fs65gp5xxs87g6dp8c0n870hdlr, v=spf1 include:spf.protection.outlook.com include:emailus.freshservice.com include:email.freshservice.com include:us-west2-mon-ic2a.voffice.bsmtechnologies.com  include:_spf.google.com -all",,,
[x],bsmwireless.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com",bsmwireless-com.mail.protection.outlook.com,"v=spf1 a mx ip4:184.94.19.2 ip4:65.110.160.133 ip4:72.15.56.15 include:spf.protection.outlook.com -all, a26286a5c2df84eccbe5f92b4b26f3b4, +t/Z3LaD6Rwvp1PFMVimSCz6jDFRa3K+VcFTSLI5P30bXTNiByNoKspk4GLdSGiC0Tpo5re2WcYZ70+mpiLJog==, MS=ms37607998, google-site-verification=0_qcB_AllPqyDEN9rXcBYDkCwxGT7lIFu-6NHp3L70o",,,
[x],cartrackpl.custom.intendia.com,34.107.117.60,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,custom.intendia.com,,,,,,,
[x],cartrackpt.custom.intendia.com,34.107.117.60,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,custom.intendia.com,,,,,,,
