input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
155-9-206-59.staging.twist.com,Twist: Organized work communication for flexible teams,200,137189,155-9-206-59.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,155-9-206-59.staging.twist.com,cloudfront,443,https://155-9-206-59.staging.twist.com:443,https,,text/html,GET,18.66.97.5,/,-1840324437,18.66.97.98,webpack,5,False,True,
159-235-122-130.twist.com,Twist: Organized work communication for flexible teams,200,137015,159-235-122-130.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,159-235-122-130.twist.com,cloudfront,80,http://159-235-122-130.twist.com:80,http,,text/html,GET,13.224.189.119,/,1152129266,13.224.189.113,webpack,5,False,True,https://159-235-122-130.twist.com/
2019139062g12.twist.com,Twist: Organized work communication for flexible teams,200,137015,2019139062g12.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,2019139062g12.twist.com,cloudfront,443,https://2019139062g12.twist.com:443,https,,text/html,GET,13.224.189.25,/,1152129266,13.224.189.113,webpack,5,False,True,
423g23.staging.twist.com,Twist: Organized work communication for flexible teams,200,137183,423g23.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,423g23.staging.twist.com,cloudfront,443,https://423g23.staging.twist.com:443,https,,text/html,GET,18.66.97.114,/,-1840324437,18.66.97.16,webpack,5,False,True,
a72.staging.twist.com,Twist: Organized work communication for flexible teams,200,137180,a72.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,a72.staging.twist.com,cloudfront,443,https://a72.staging.twist.com:443,https,,text/html,GET,18.66.97.5,/,-1840324437,18.66.97.98,webpack,5,False,True,
a738.twist.com,Twist: Organized work communication for flexible teams,200,137015,a738.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,a738.twist.com,cloudfront,443,https://a738.twist.com:443,https,,text/html,GET,13.224.189.25,/,1152129266,13.224.189.6,webpack,5,False,True,
acc.beta2.twist.com,ERROR: The request could not be satisfied,502,951,acc.beta2.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,acc.beta2.twist.com,cloudfront,443,https://acc.beta2.twist.com:443,https,CloudFront,text/html,GET,13.224.189.119,/,424381917,13.224.189.25,Amazon Web Services,20,False,True,
access.twist.com,Twist: Organized work communication for flexible teams,200,137015,access.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,access.twist.com,cloudfront,80,http://access.twist.com:80,http,,text/html,GET,13.224.189.6,/,1152129266,13.224.189.119,webpack,5,False,True,https://access.twist.com/
affiliate.twist.com,Twist: Organized work communication for flexible teams,200,137015,affiliate.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,affiliate.twist.com,cloudfront,443,https://affiliate.twist.com:443,https,,text/html,GET,13.224.189.113,/,1152129266,13.224.189.119,webpack,5,False,True,
afrc-coin-sds.staging.twist.com,Twist: Organized work communication for flexible teams,200,137190,afrc-coin-sds.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,afrc-coin-sds.staging.twist.com,cloudfront,443,https://afrc-coin-sds.staging.twist.com:443,https,,text/html,GET,18.66.97.114,/,-1840324437,18.66.97.98,webpack,5,False,True,
alekoktadinata.twist.com,Twist: Organized work communication for flexible teams,200,137015,alekoktadinata.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,alekoktadinata.twist.com,cloudfront,80,http://alekoktadinata.twist.com:80,http,,text/html,GET,52.84.102.9,/,1152129266,52.84.102.23,webpack,5,False,True,https://alekoktadinata.twist.com/
alpha-wiki-controller-new-corp.staging.twist.com,Twist: Organized work communication for flexible teams,200,137207,alpha-wiki-controller-new-corp.staging.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,alpha-wiki-controller-new-corp.staging.twist.com,cloudfront,443,https://alpha-wiki-controller-new-corp.staging.twist.com:443,https,,text/html,GET,18.66.97.5,/,-1840324437,18.66.97.98,webpack,5,False,True,
api-apppostman-cdn.twist.com,Twist: Organized work communication for flexible teams,200,137015,api-apppostman-cdn.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,api-apppostman-cdn.twist.com,cloudfront,80,http://api-apppostman-cdn.twist.com:80,http,,text/html,GET,13.224.189.119,/,1720713769,13.224.189.25,webpack,5,False,True,https://api-apppostman-cdn.twist.com/
api.todoist.com,"404 - Sorry, the page you're looking for isn’t here anymore",404,4032,api.todoist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-11T00:00:00Z,2024-06-08T23:59:59Z,CN=todoist.com,todoist.com,todoist.help,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6acd052becc6a0e8bf4888fb3fde976,416dfde28e2b9145c13521731fc100ff41d368ed95a0af5b87161c9fd0b17f6b,True,ctls,api.todoist.com,cloudfront,443,https://api.todoist.com:443,https,,text/html,GET,143.204.89.92,/,1776223086,2600:9000:2156:4200:1d:b016:1bc0:93a1,HSTS,120,False,True,https://api.todoist.com/auth/login
archive.twist.com,Twist: Organized work communication for flexible teams,200,137015,archive.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,archive.twist.com,cloudfront,443,https://archive.twist.com:443,https,,text/html,GET,13.224.189.6,/,1152129266,13.224.189.113,webpack,5,False,True,
are.local.twist.com,ERROR: The request could not be satisfied,502,951,are.local.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,are.local.twist.com,cloudfront,80,http://are.local.twist.com:80,http,CloudFront,text/html,GET,13.224.189.119,/,1594825617,13.224.189.113,Amazon Web Services,20,False,True,https://are.local.twist.com/
are.twist.com,Twist: Organized work communication for flexible teams,200,137015,are.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,are.twist.com,cloudfront,80,http://are.twist.com:80,http,,text/html,GET,13.224.189.25,/,1720713769,13.224.189.119,webpack,5,False,True,https://are.twist.com/
ash-arvrnpm08.twist.com,Twist: Organized work communication for flexible teams,200,137015,ash-arvrnpm08.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-28T00:00:00Z,2023-07-22T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f27fcf67ef00c7e9bc9225d5e5f12534,ab915ee03211bbc1db96bb0f4e3a00e64df914b8daa73c2a79f581c3081754ad,True,ctls,ash-arvrnpm08.twist.com,cloudfront,443,https://ash-arvrnpm08.twist.com:443,https,,text/html,GET,13.224.189.113,/,1152129266,13.224.189.6,webpack,5,False,True,
