new,host,a,soa,status_code,ns,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],17-121-124-38.labs.coursera.org,"34.198.177.114, 3.92.168.156","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accounts.coursera.org,"54.159.193.142, 54.160.255.142, 54.173.161.111, 107.21.27.58, 107.23.99.193, 3.95.96.73","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],admin.coursera.org,"107.23.99.193, 107.21.27.58, 54.173.161.111, 54.159.193.142, 3.95.96.73, 54.160.255.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],agdliits.labs.coursera.org,"3.92.168.156, 34.198.177.114","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.coursera.org,"54.173.161.111, 54.159.193.142, 3.95.96.73, 107.23.99.193, 54.160.255.142, 107.21.27.58","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],assetseu-gb-lon06.labs-dev.coursera.org,"34.230.207.50, 100.25.238.227","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aws2-avx-scep-dev.corp.coursera.org,"52.23.99.182, 44.199.31.137","ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aws2-avx-scep-prod.corp.coursera.org,"3.223.145.151, 52.72.129.43","ns-415.awsdns-51.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1487.awsdns-57.org, ns-1560.awsdns-03.co.uk, ns-415.awsdns-51.com, ns-721.awsdns-26.net",,,,,,,,,
[x],berkeley.coursera.org,"107.23.99.193, 107.21.27.58, 54.173.161.111, 3.95.96.73, 54.160.255.142, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],biz.coursera.org,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,u18307070.wl071.sendgrid.net,mx.sendgrid.net,v=spf1 ip4:167.89.74.134 ip4:167.89.95.30 ip4:168.245.105.246 ip4:168.245.127.38 ip4:168.245.41.16 ip4:168.245.64.186 -all,,,,
[x],blog.coursera.org,"107.23.99.193, 54.160.255.142, 54.173.161.111, 3.95.96.73, 54.159.193.142, 107.21.27.58","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],building.coursera.org,"13.249.39.8, 13.249.39.98, 13.249.39.95, 13.249.39.78","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],business.coursera.org,"107.23.99.193, 107.21.27.58, 54.173.161.111, 3.95.96.73, 54.160.255.142, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ca.coursera.org,"52.222.174.103, 52.222.174.18, 52.222.174.9, 52.222.174.15","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],careers.coursera.org,"99.86.114.65, 99.86.114.30, 99.86.114.77, 99.86.114.11","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],click.email.coursera.org,13.111.159.160,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],click.mail.coursera.org,"34.218.40.77, 52.41.183.24, 54.187.217.209","ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1132.awsdns-13.org, ns-2015.awsdns-59.co.uk, ns-867.awsdns-44.net, ns-93.awsdns-11.com",,,coursera.et.e.sparkpost.com,,,,,,
