new,host,soa,txt,status_code,a,cname,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,ns,mx,caa
[x],1099adapter.onlinepayroll.intuit.com,"dns1.p04.nsone.net, nadmin.intuit.com, a1-182.akam.net",,NOERROR,70.42.9.88,,,,,,,,,
[x],370post20test9-pre-production-jrnzq1.pd.idps.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,52.37.138.172,370post20test9-preprod-jrnzq1-1901507167.us-west-2.elb.amazonaws.com,,,,,,,,
[x],_spf1.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com, a1-182.akam.net",v=spf1 include:spf.protection.outlook.com include:_spf2.intuit.com ip4:12.216.231.16 ip4:12.187.184.48 ip4:12.149.174.0/27 ip4:12.187.184.32/28 ip4:12.216.231.32/28 ip4:199.16.137.0/24 ip4:199.16.139.0/25 ip4:206.225.202.0/27 ip4:206.225.218.0/27 ~all,NOERROR,,,,,,,,,,
[x],a.api.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.89.60.160, 52.24.117.221, 44.237.191.157, 35.82.143.112, 52.36.133.220, 52.27.45.182, 34.209.70.243, 54.69.220.219","a.prd.api.a.intuit.com, a-us-west-2.prd.api.a.intuit.com, sw6_us-west-2_web.prd.api.a.intuit.com, sw6prdwebbluealb-1985872400.us-west-2.elb.amazonaws.com",,,,,,,,
[x],a.quickbase.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],a0.quickbase.intuit.com,"a1-182.akam.net, nadmin.intuit.com",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],a3.quickbase.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com, a1-182.akam.net",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],a4.quickbase.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],a4a.intuit.com,"n0b.akamai.net, hostmaster.akamai.com",,NOERROR,"23.32.238.67, 23.32.238.51","redirector.intuit.com, redirector.intuit.com.edgesuite.net, a1887.b.akamai.net",,,,,,,,
[x],a5.quickbase.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com, a1-182.akam.net",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],a7.quickbase.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],a8.quickbase.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],a9.quickbase.intuit.com,"a1-182.akam.net, nadmin.intuit.com",,NOERROR,,quickbase.intuit.com,,,,,,,,
[x],aaa.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,10.100.100.202,,True,10.100.100.202,,,,,,
[x],aacgtest.intuit.com,"ns1.p04.dynect.net, hostmaster.oracle.com",,NOERROR,144.23.190.130,bigip-aacgtest-intuit.oracle.com,,,,,,,,
[x],abac.api.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.27.45.182, 44.231.185.115, 52.25.145.128, 52.24.117.221, 52.89.60.160, 35.82.143.112, 44.237.191.157, 34.212.162.79","abac.prd.api.a.intuit.com, abac-us-west-2.prd.api.a.intuit.com, sw6_us-west-2_web.prd.api.a.intuit.com, sw6prdwebbluealb-1985872400.us-west-2.elb.amazonaws.com",,,,,,,,
[x],abc.intuit.com,"n0b.akamai.net, hostmaster.akamai.com",,NOERROR,"23.32.238.51, 23.32.238.67","redirector.intuit.com, redirector.intuit.com.edgesuite.net, a1887.b.akamai.net",,,,,,,,
[x],ablink.em1.mint.intuit.com,"n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,104.81.213.243,"ablink.em1.mint.intuit.com.edgekey.net, e4838.a.akamaiedge.net",,,,,,,,
[x],abtest.api.intuit.com,"ns-1002.awsdns-61.net, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=devp-apigwext-prd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwext-usw2-prd-sw27/usw2-prd-sw27-intuit-gateway-ingress",NOERROR,"44.229.54.246, 34.210.160.110, 44.240.59.226","abtest.prd.api.a.intuit.com, abtest-us-west-2.prd.api.a.intuit.com, sw27_us-west-2_web.prd.api.a.intuit.com, prd-sw27.devpapigwextprdusw2.iks2.a.intuit.com",,,,,,,,
[x],abtesting-e2e.a.intuit.com,"ns-1605.awsdns-08.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=devp-apigwint-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwint-usw2-e2e-dx01/usw2-e2e-dx01-intuit-gateway-ingress",NOERROR,"44.239.249.117, 44.233.201.45, 52.11.193.208","abtesting.e2e.api.a.intuit.com, abtesting-us-west-2.e2e.api.a.intuit.com, sw1_us-west-2_web.e2e.api.a.intuit.com, dial_sw1_us-west-2_web.e2e.api.a.intuit.com, e2e-dx01.devpapigwintppdusw2.iks2.a.intuit.com",,,,,,,,
[x],abtesting-e2e.api.intuit.com,"ns-1605.awsdns-08.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=devp-apigwint-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwint-usw2-e2e-dx01/usw2-e2e-dx01-intuit-gateway-ingress",NOERROR,"44.239.249.117, 44.233.201.45, 52.11.193.208","abtesting.e2e.api.a.intuit.com, abtesting-us-west-2.e2e.api.a.intuit.com, sw1_us-west-2_web.e2e.api.a.intuit.com, dial_sw1_us-west-2_web.e2e.api.a.intuit.com, e2e-dx01.devpapigwintppdusw2.iks2.a.intuit.com",,,,,,,,
[x],abtesting-prf.a.intuit.com,"ns-1605.awsdns-08.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=devp-apigwint-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwint-usw2-prf-dx01/usw2-prf-dx01-intuit-gateway-ingress",NOERROR,"52.32.117.166, 34.212.249.250, 54.187.171.117, 52.27.52.173, 44.239.101.66, 52.39.203.72","abtesting.prf.api.a.intuit.com, abtesting-us-west-2.prf.api.a.intuit.com, sw1_us-west-2_web.prf.api.a.intuit.com, dial_sw1_us-west-2_web.prf.api.a.intuit.com, prf-dx01.devpapigwintppdusw2.iks2.a.intuit.com",,,,,,,,
[x],abtesting-prf.api.intuit.com,"ns-1605.awsdns-08.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=devp-apigwint-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwint-usw2-prf-dx01/usw2-prf-dx01-intuit-gateway-ingress",NOERROR,"34.212.249.250, 54.187.171.117, 52.32.117.166, 52.27.52.173, 52.39.203.72, 44.239.101.66","abtesting.prf.api.a.intuit.com, abtesting-us-west-2.prf.api.a.intuit.com, sw1_us-west-2_web.prf.api.a.intuit.com, dial_sw1_us-west-2_web.prf.api.a.intuit.com, prf-dx01.devpapigwintppdusw2.iks2.a.intuit.com",,,,,,,,
[x],abtesting-qal.a.intuit.com,"ns-1605.awsdns-08.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=devp-apigwint-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwint-usw2-qa-dx01/usw2-qal-dx01-intuit-gateway-ingress",NOERROR,"54.70.115.72, 54.218.73.89, 52.24.127.87","abtesting-qal.api.intuit.com, abtesting.qa.api.a.intuit.com, abtesting-us-west-2.qa.api.a.intuit.com, sw1_us-west-2_web.qa.api.a.intuit.com, dial_sw1_us-west-2_web.qa.api.a.intuit.com, qa-dx01.devpapigwintppdusw2.iks2.a.intuit.com",,,,,,,,
[x],abtesting.api.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.33.84.162, 34.216.243.133, 54.201.189.87, 44.237.124.146, 34.211.162.37, 52.12.81.133, 52.32.17.254, 54.148.37.114","abtesting.prd.api.a.intuit.com, abtesting-us-west-2.prd.api.a.intuit.com, sw1_us-west-2_web.prd.api.a.intuit.com, sw1prdwebbluealb-144153673.us-west-2.elb.amazonaws.com",,,,,,,,
[x],abtesting.platform.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.24.77.207, 52.12.81.133, 52.42.153.201, 35.82.140.22, 34.211.162.37, 52.32.17.254, 35.165.32.209, 35.162.118.125","abtesting.intuit.com, abtesting.prd.api.a.intuit.com, abtesting-us-west-2.prd.api.a.intuit.com, sw1_us-west-2_web.prd.api.a.intuit.com, sw1prdwebbluealb-144153673.us-west-2.elb.amazonaws.com",,,,,,,,
[x],academy.intuit.com,"n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.53.61.225,"academy.intuit.com.edgekey.net, e4668.dsca.akamaiedge.net",,,,,"2001:2030:21:189::123c, 2001:2030:21:1ad::123c",,,
[x],academy.mailchimp.com,"a1-205.akam.net, domains.mailchimp.com",,NOERROR,216.243.171.15,hchost.mailchimp.com,,,,,,,,
[x],accelerate.intuit.com,"ns-948.awsdns-54.net, awsdns-hostmaster.amazon.com",,NOERROR,"99.86.91.126, 99.86.91.80, 99.86.91.35, 99.86.91.94",accelerate.a.intuit.com,,,True,cloudfront,,,,
[x],access.ips.intuit.com,"ns-1068.awsdns-05.org, awsdns-hostmaster.amazon.com",,NOERROR,"44.238.222.137, 34.208.186.205, 35.163.135.27","access.ips.intuitmarket.intuit.com, access.ips.intuitmarket.a.intuit.com",,,,,,,,
[x],access.ips.intuitmarket.e2e.intuit.com,"ns-732.awsdns-27.net, awsdns-hostmaster.amazon.com",,NOERROR,"34.211.213.64, 44.237.32.10",access.ips.intuitmarket.e2e.a.intuit.com,,,,,,,,
[x],access.platform.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"54.69.220.219, 34.209.70.243, 44.238.27.150, 35.160.127.73, 44.231.185.115, 52.32.29.205, 52.25.145.128, 52.27.45.182","accessloadbalancerssz.prd.api.a.intuit.com, accessloadbalancerssz-us-west-2.prd.api.a.intuit.com, sw6_us-west-2_web.prd.api.a.intuit.com, sw6prdwebbluealb-1985872400.us-west-2.elb.amazonaws.com",,,,,,,,
[x],accessapi.api.intuit.com,"ns-1002.awsdns-61.net, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=devp-apigwext-prd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwext-usw2-prd-sw27/usw2-prd-sw27-intuit-gateway-ingress",NOERROR,"34.210.160.110, 44.229.54.246, 44.240.59.226","accessapi.prd.api.a.intuit.com, accessapi-us-west-2.prd.api.a.intuit.com, sw27_us-west-2_web.prd.api.a.intuit.com, prd-sw27.devpapigwextprdusw2.iks2.a.intuit.com",,,,,,,,
[x],accessibility.intuit.com,"n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,2.22.239.54,"secure-redirector.intuit.com, secure-redirector.intuit.com.edgekey.net, e4424.a.akamaiedge.net",,,,,,,,
[x],accountant.intuit.com,"n0b.akamai.net, hostmaster.akamai.com",,NOERROR,"84.53.175.9, 88.221.25.176","redirector.intuit.com, redirector.intuit.com.edgesuite.net, a1887.b.akamai.net",,,,,,,,
[x],accountants-community.intuit.com,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.99.80, 13.32.99.24, 13.32.99.31, 13.32.99.47","accountants.shared-prod.lc.a.intuit.com, community-14.pod-2-prod-2.lc-shared-production.lc.a.intuit.com, msaas.pod-2-prod-2.lc-shared-production.lc.a.intuit.com, d2gl0fir6l5zg9.cloudfront.net",,,True,cloudfront,"2600:9000:2251:bc00:8:e91f:ee40:93a1, 2600:9000:2251:ca00:8:e91f:ee40:93a1, 2600:9000:2251:ec00:8:e91f:ee40:93a1, 2600:9000:2251:f600:8:e91f:ee40:93a1, 2600:9000:2251:5600:8:e91f:ee40:93a1, 2600:9000:2251:5a00:8:e91f:ee40:93a1, 2600:9000:2251:6c00:8:e91f:ee40:93a1, 2600:9000:2251:7000:8:e91f:ee40:93a1","ns-240.awsdns-30.com, ns-599.awsdns-10.net, ns-1139.awsdns-14.org, ns-1933.awsdns-49.co.uk",,
[x],accountants.intuit.com,"n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.210.115.132,"accountants.intuit.com.edgekey.net, e9951.a.akamaiedge.net",,,,,,,,
[x],accountantscanary-e2e.intuit.com,"n0g.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.78.207.193,"preprod.mktg.intuit.com.edgekey.net, e6535.g.akamaiedge.net",,,,,,,,
[x],accounting-e2e-txns-rendering.qboppduse2.iks2.a.intuit.com,"ns-1085.awsdns-07.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=qbo-ppd-use2-k8s,external-dns/resource=ingress/accounting-txnsrendering-use2-e2e/txns-rendering-appd-ingress",NOERROR,"3.13.42.246, 3.128.149.177, 18.190.129.64",,,,,,,,,
[x],accounting.intuit.com,"n0b.akamai.net, hostmaster.akamai.com",,NOERROR,"95.101.54.131, 2.16.202.121","accountant.intuit.com, redirector.intuit.com, redirector.intuit.com.edgesuite.net, a1887.b.akamai.net",,,,,,,,
[x],accounting.quickbooks.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com, ns-897.awsdns-48.net","heritage=external-dns,external-dns/owner=qbo-mono-prd-usw2-k8s,external-dns/resource=ingress/accounting-c11-usw2-prod/prod-c11-qbo-ingress",NOERROR,"52.33.38.225, 54.186.126.166, 44.241.58.193","qbo.intuit.com, qbo-prd.sbg-qbo-prod.a.intuit.com, qbo-us-prd.sbg-qbo-prod.a.intuit.com, c18-prd.sbg-qbo-prod.a.intuit.com, c18-prod.qbomono2prdusw2.iks2.a.intuit.com, c10-prd.sbg-qbo-prod.a.intuit.com, c10-prod.qbomonoprdusw2.iks2.a.intuit.com, c27-prd.sbg-qbo-prod.a.intuit.com, c27-prod.qbomono2prdusw2.iks2.a.intuit.com, c11-prd.sbg-qbo-prod.a.intuit.com, c11-prod.qbomonoprdusw2.iks2.a.intuit.com, c19-prd.sbg-qbo-prod.a.intuit.com, c19-prod.qbomono2prdusw2.iks2.a.intuit.com, c25-prd.sbg-qbo-prod.a.intuit.com, c25-prod.qbomono2prdusw2.iks2.a.intuit.com, c9-prd.sbg-qbo-prod.a.intuit.com, c9-prod.qbomonoprdusw2.iks2.a.intuit.com",,,,,,,,
[x],accounts-csr-dev.intuit.com,"ns-1060.awsdns-04.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=identitycr-ppd-usw2-k8s,external-dns/resource=ingress/identity-csr-usw2-qal/csr-appd-ingress",NOERROR,"52.37.85.246, 54.189.29.136, 35.162.98.142","csr-fe-b.identity-dev.a.intuit.com, csr-b-dial.identity-dev.a.intuit.com, csr-b-iks.identity-dev.a.intuit.com, identity-qal-csr.identitycrppdusw2.iks2.a.intuit.com",,,,,,,,
[x],accounts-csr-prd.intuit.com,"ns-126.awsdns-15.com, awsdns-hostmaster.amazon.com, ns-856.awsdns-43.net","heritage=external-dns,external-dns/owner=identitycr-prd-use2-k8s,external-dns/resource=ingress/identity-csr-use2-prd/csr-appd-ingress",NOERROR,"3.18.22.160, 13.58.150.222, 3.16.245.169","csr-fe-b.identity-prd.a.intuit.com, csr-b-dial.identity-prd.a.intuit.com, csr-b-iks2.identity-prd.a.intuit.com, identity-prd-csr.identitycrprduse2.iks2.a.intuit.com, identity-prd-csr.identitycrprdusw2.iks2.a.intuit.com",,,,,,,,
[x],accounts-csr-prf.intuit.com,"ns-1240.awsdns-27.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=identitycr-ppd-use2-k8s,external-dns/resource=ingress/identity-csr-use2-prf/csr-appd-ingress",NOERROR,"3.140.63.54, 18.189.187.149, 3.132.53.16","csr-fe-b.identity-prf.a.intuit.com, csr-b-dial.identity-prf.a.intuit.com, csr-b-iks2.identity-prf.a.intuit.com, identity-prf-csr.identitycrppduse2.iks2.a.intuit.com",,,,,,,,
[x],accounts-e2e.identity-preprod.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"34.209.68.158, 52.13.8.39, 44.239.216.113",iux-a-fe-e2e-774341795.us-west-2.elb.amazonaws.com,,,,,,,,
[x],accounts-e2e.intuit.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,2.19.40.33,"accounts-e2e.intuit.com.edgekey.net, e17469.b.akamaiedge.net",,,,,,,,
[x],accounts-e2e.platform.intuit.com,"ns-131.awsdns-16.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=apigw-id-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwid-usw2-e2e-id06/usw2-e2e-id06-intuit-gateway-ingress",NOERROR,"54.213.70.67, 34.208.131.189, 54.201.241.24","accountsloadbalancerssz.e2e.api.a.intuit.com, accountsloadbalancerssz-us-west-2.e2e.api.a.intuit.com, sw6_us-west-2_web.e2e.api.a.intuit.com, dial_sw6_us-west-2_web.e2e.api.a.intuit.com, e2e-id06.apigwidppdusw2.iks2.a.intuit.com",,,,,,,,
[x],accounts-e2e.quickbooks.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,95.100.73.48,"accounts-e2e.intuit.com.edgekey.net, e17469.b.akamaiedge.net",,,,,,,,
[x],accounts-help.intuit.com,"n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.222.33.139,"prod.sh-ppl-accounts-help.edgekey.net, e2217.dsca.akamaiedge.net",,,,,"2a02:26f0:c900:280::8a9, 2a02:26f0:c900:28f::8a9",,,
[x],accounts-prd.intuit.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.38.56.225,"accounts-prd.intuit.com.edgekey.net, e17486.b.akamaiedge.net",,,,,,,,
[x],accounts-prf.identity-preprod.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"44.232.22.214, 54.212.17.40, 44.235.35.239",iux-a-fe-prf-1877315354.us-west-2.elb.amazonaws.com,,,,,,,,
[x],accounts-prf.mint.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,2.19.40.33,"accounts-e2e.intuit.com.edgekey.net, e17469.b.akamaiedge.net",,,,,,,,
[x],accounts-prf.platform.intuit.com,"ns-131.awsdns-16.com, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=apigw-id-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwid-usw2-prf-id06/usw2-prf-id06-intuit-gateway-ingress",NOERROR,"54.187.247.94, 34.216.159.205, 54.68.46.54, 34.209.171.197, 44.238.108.217, 52.10.36.205, 44.237.47.228, 44.236.168.124","accountsloadbalancerssz.prf.api.a.intuit.com, accountsloadbalancerssz-us-west-2.prf.api.a.intuit.com, sw6_us-west-2_web.prf.api.a.intuit.com, dial_sw6_us-west-2_web.prf.api.a.intuit.com, prf-id06.apigwidppdusw2.iks2.a.intuit.com",,,,,,,,
[x],accounts-tax-e2e.intuit.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.198.28.142,"accounts-e2e.intuit.com.edgekey.net, e17469.b.akamaiedge.net",,,,,,,,
[x],accounts-tax-e2e.platform.intuit.com,"ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=apigw-cx-ppd-use2-k8s,external-dns/resource=ingress/services-gateway-apigwcx-use2-e2e-cx25/use2-e2e-cx25-intuit-gateway-ingress",NOERROR,"3.128.23.15, 3.13.29.41, 3.137.120.82","accountsloadbalancer.e2e.api.a.intuit.com, accountsloadbalancer-us-east-2.e2e.api.a.intuit.com, sw25_us-east-2_web.e2e.api.a.intuit.com, dial_sw25_us-east-2_web.e2e.api.a.intuit.com, e2e-cx25.apigwcxppduse2.iks2.a.intuit.com",,,,,,,,
[x],accounts-tax-prf.platform.intuit.com,"ns-752.awsdns-30.net, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=apigw-cx-ppd-usw2-k8s,external-dns/resource=ingress/services-gateway-apigwcx-usw2-prf-cx25/usw2-prf-cx25-intuit-gateway-ingress",NOERROR,"52.33.31.194, 54.218.144.206, 44.226.245.179","accountsloadbalancer.prf.api.a.intuit.com, accountsloadbalancer-us-west-2.prf.api.a.intuit.com, sw25_us-west-2_web.prf.api.a.intuit.com, dial_sw25_us-west-2_web.prf.api.a.intuit.com, prf-cx25.apigwcxppdusw2.iks2.a.intuit.com",,,,,,"ns-1263.awsdns-29.org, ns-1742.awsdns-25.co.uk, ns-282.awsdns-35.com, ns-752.awsdns-30.net",,
[x],accounts-tax.intuit.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.222.62.144,"accounts-prd.intuit.com.edgekey.net, e17486.b.akamaiedge.net",,,,,,,,
[x],accounts.identity.a.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"44.239.253.113, 54.186.151.94, 52.24.203.176, 52.43.106.250, 34.213.252.110, 44.227.126.0",iux-a-fe-prd-1535883833.us-west-2.elb.amazonaws.com,,,,,,,,
[x],accounts.intuit.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,104.102.57.56,"accounts-prd.intuit.com.edgekey.net, e17486.b.akamaiedge.net",,,,,,,,
[x],accounts.mint.com,"n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.38.56.225,"accounts-prd.intuit.com.edgekey.net, e17486.b.akamaiedge.net",,,,,,,,
[x],accounts.platform.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"44.238.27.150, 44.237.191.157, 52.32.29.205, 44.231.185.115, 52.89.60.160, 52.36.118.128, 52.27.45.182, 35.160.127.73","accountsloadbalancerssz.prd.api.a.intuit.com, accountsloadbalancerssz-us-west-2.prd.api.a.intuit.com, sw6_us-west-2_web.prd.api.a.intuit.com, sw6prdwebbluealb-1985872400.us-west-2.elb.amazonaws.com",,,,,,,,
[x],acft.intuit.com,"ns-1684.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,34.216.38.232,acft.a.intuit.com,,,,,,"ns-117.awsdns-14.com, ns-1369.awsdns-43.org, ns-1684.awsdns-18.co.uk, ns-785.awsdns-34.net",,
[x],ach-aws-green.api.intuit.com,"dns1.p08.nsone.net, nadmin.intuit.com",,NOERROR,,,,,,,,,,
[x],ach-e2e.platform.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,34.215.135.43,"ach-e2e-com.e2e.api.a.intuit.com, ach-e2e-com-us-west-2.e2e.api.a.intuit.com, sw13_us-west-2_web.e2e.api.a.intuit.com, sw13e2ewebbluealb-1701063216.us-west-2.elb.amazonaws.com",,,,,,,,
[x],acos.api.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.27.115.26, 54.68.191.20, 34.211.207.249, 54.218.190.88, 35.161.189.214, 35.160.175.116","acos.prd.api.a.intuit.com, acos-us-west-2.prd.api.a.intuit.com, sw8_us-west-2_web.prd.api.a.intuit.com, dial_sw8_us-west-2_web.prd.api.a.intuit.com, sw8prdwebbluealb-1129668040.us-west-2.elb.amazonaws.com",,,,,,,,
[x],acsquincy.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,"34.211.207.249, 35.160.175.116, 54.218.190.88, 35.161.189.214, 54.68.191.20, 52.27.115.26","coreservices.accountant.intuit.com, coreservices.prd.api.a.intuit.com, coreservices-us-west-2.prd.api.a.intuit.com, sw8_us-west-2_web.prd.api.a.intuit.com, dial_sw8_us-west-2_web.prd.api.a.intuit.com, sw8prdwebbluealb-1129668040.us-west-2.elb.amazonaws.com",,,,,,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,
[x],activate.turbotax.com,"n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,23.215.21.97,"secure-redirector6.intuit.com, secure-redirector6.intuit.com.edgekey.net, e4362.a.akamaiedge.net",,,,,,,,
[x],activityfeed.platform.intuit.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,54.214.174.57,"activityfeed-com.prd.api.a.intuit.com, activityfeed-com-us-west-2.prd.api.a.intuit.com, sw13_us-west-2_web.prd.api.a.intuit.com, sw13prdwebbluealb-459549051.us-west-2.elb.amazonaws.com",,,,,,,,
[x],addons.intuit.com,"a1-182.akam.net, nadmin.intuit.com, dns1.p08.nsone.net",,NOERROR,23.20.229.166,,,,,,,,,
[x],ade.onlinepayroll.intuit.com,"dns1.p04.nsone.net, nadmin.intuit.com, a1-182.akam.net",,NOERROR,70.42.12.126,,,,,,,,,
[x],adeadapter.psp.intuit.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",,NOERROR,"34.218.185.139, 52.34.153.130, 35.164.175.62",adeadapter.psp.a.intuit.com,,,,,,,,
[x],admin-c1.qa.qbo.intuit.com,"ns-1147.awsdns-15.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=qbo-mono-ppd-usw2-k8s,external-dns/resource=ingress/accounting-c1-usw2-qal/qal-c1-qbo-admin-ingress",NOERROR,"44.240.21.91, 52.41.197.65, 44.230.167.150","admin-c1-qa.sbg-qbo-ppd.a.intuit.com, admin-c1-qa.qbomonoppdusw2.iks2.a.intuit.com",,,,,,,,
[x],admin-c1.qbo.intuit.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=qbo-mono-prd-usw2-k8s,external-dns/resource=ingress/accounting-c1-usw2-prod/prod-c1-qbo-admin-ingress",NOERROR,"34.208.69.224, 44.241.160.20, 70.224.206.88","admin-c1-prd.sbg-qbo-prod.a.intuit.com, admin-c1-prod.qbomonoprdusw2.iks2.a.intuit.com",,,,,,,,
[x],admin-c10.qbo.intuit.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=qbo-mono-prd-usw2-k8s,external-dns/resource=ingress/accounting-c10-usw2-prod/prod-c10-qbo-admin-ingress",NOERROR,"44.231.159.1, 35.162.2.173, 54.244.24.147","admin-c10-prd.sbg-qbo-prod.a.intuit.com, admin-c10-prod.qbomonoprdusw2.iks2.a.intuit.com",,,,,,,,
[x],admin-c12.perf.qbo.intuit.com,"ns-1147.awsdns-15.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=qbo-mono-ppd-usw2-k8s,external-dns/resource=ingress/accounting-c12-usw2-perf/perf-c12-qbo-admin-ingress",NOERROR,"44.239.34.15, 100.21.76.179, 52.37.97.149","admin-c12-perf.sbg-qbo-ppd.a.intuit.com, admin-c12-perf.qbomonoppdusw2.iks2.a.intuit.com",,,,,,,,
[x],admin-c13.qbo.intuit.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=qbo-mono-prd-usw2-k8s,external-dns/resource=ingress/accounting-c13-usw2-prod/prod-c13-qbo-admin-ingress",NOERROR,"54.218.97.234, 44.238.135.186, 52.42.130.162","admin-c13-prd.sbg-qbo-prod.a.intuit.com, admin-c13-prod.qbomonoprdusw2.iks2.a.intuit.com",,,,,,,,
